,datetimes,image links,names
0,"

07/10/17 02:33 PM EDT","<img alt=""Top nav logo"" src=""//d1yhils6iwh5l5.cloudfront.net/assets/nav/top-nav-logo-6050a69e6805a0ca37e46ac7faeac7db.png""/>",Is A Major Change in Financial Market Sentiment Upon Us?
1,"
07/10/17 03:02 PM EDT
","<img alt=""Top nav logo"" src=""//d1yhils6iwh5l5.cloudfront.net/assets/nav/top-nav-logo-6050a69e6805a0ca37e46ac7faeac7db.png""/>",STOCK TALK | Replay with Energy Analyst Kevin Kaiser
2,07/12/17 05:05 PM EDT,"<img alt=""Top nav logo"" src=""//d1yhils6iwh5l5.cloudfront.net/assets/nav/top-nav-logo-6050a69e6805a0ca37e46ac7faeac7db.png""/>",9 Reasons to Be Bearish On Tesla (TSLA)
3,17/17 02:38 PM EDT,"<img alt=""Top nav logo"" src=""//d1yhils6iwh5l5.cloudfront.net/assets/nav/top-nav-logo-6050a69e6805a0ca37e46ac7faeac7db.png""/>",Josh Crumb Answers the Hedgeye 21
4,7/20/17 07:42 AM EDT,"<img alt=""Top nav logo"" src=""//d1yhils6iwh5l5.cloudfront.net/assets/nav/top-nav-logo-6050a69e6805a0ca37e46ac7faeac7db.png""/>",The $4 Trillion Nightmare Looming Over Pension Funds
5,07/20/17 07:42 AM EDT,"<img alt=""Top nav logo"" src=""//d1yhils6iwh5l5.cloudfront.net/assets/nav/top-nav-logo-6050a69e6805a0ca37e46ac7faeac7db.png""/>",Cartoon of the Day: Holy Cow!
6,07/21/17 04:20 PM EDT,"<img alt=""Top nav logo"" src=""//d1yhils6iwh5l5.cloudfront.net/assets/nav/top-nav-logo-6050a69e6805a0ca37e46ac7faeac7db.png""/>",McCullough: How to Generate Alpha
7,07/21/17 10:41 AM EDT,"<img alt=""Top nav logo"" src=""//d1yhils6iwh5l5.cloudfront.net/assets/nav/top-nav-logo-6050a69e6805a0ca37e46ac7faeac7db.png""/>",An Update on the Earnings Season Scorecard
8,07/21/17 09:28 AM EDT,"<img alt=""Top nav logo"" src=""//d1yhils6iwh5l5.cloudfront.net/assets/nav/top-nav-logo-6050a69e6805a0ca37e46ac7faeac7db.png""/>",Jesse Felder Answers the Hedgeye 21
9,07/21/17 07:41 AM EDT,"<img alt=""Top nav logo"" src=""//d1yhils6iwh5l5.cloudfront.net/assets/nav/top-nav-logo-6050a69e6805a0ca37e46ac7faeac7db.png""/>",Don't Freak Out... 3 Reasons to Continue Buying Stocks (on Pullbacks)
